bw,delay,loss,queue,packet_loss_ratio,rtt,jitter,throughput
21.94,9.19,8.85,128,47.0,139.764,38.812,12.1
15.91,51.32,7.34,144,37.0,214.933,43.35,10.2
20.19,17.74,0.73,63,41.0,108.513,48.969,12.4
27.24,51.16,7.95,25,82.0,149.0,12.728,5.13
23.08,5.67,2.72,84,42.0,98.8,33.006,55.5
23.34,68.99,2.83,217,0.0,328.667,63.555,0.0
7.84,47.5,5.32,249,31.0,548.5,76.602,2.78
24.57,67.39,6.08,120,46.0,230.455,36.787,8.94
16.77,46.24,6.98,199,39.0,285.111,67.16,1.86
29.46,38.17,0.83,143,50.0,196.562,42.775,1.53
27.47,65.57,8.81,136,51.0,216.833,41.817,14.3
25.04,61.7,6.32,133,52.0,171.4,31.792,8.11
22.85,37.33,6.61,132,44.0,169.875,62.384,2.92
11.98,74.95,4.58,61,50.0,181.0,26.952,4.49
18.66,32.12,2.45,160,46.0,217.375,47.013,83.7
11.35,18.11,8.54,194,41.0,333.462,71.764,2.42
7.95,71.55,5.45,131,32.0,322.312,44.077,5.61
8.8,58.17,1.95,213,27.0,446.917,83.752,1.27
29.97,37.0,8.67,111,0.0,150.083,42.457,0.0
26.95,20.03,6.83,124,52.0,258.7,83.601,2.35
29.97,25.89,8.68,33,67.0,444.182,204.861,6.05
15.47,34.34,9.56,234,36.0,352.667,84.543,20.9
18.57,25.23,5.06,239,44.0,301.154,100.635,1.7
25.57,36.11,0.37,105,57.0,503.462,116.684,21.7
15.54,48.88,2.75,22,72.0,123.455,32.126,4.63
9.92,28.59,6.74,182,30.0,324.667,73.705,1.12
6.49,27.11,4.58,181,25.0,504.5,65.835,74.9
26.12,47.24,1.03,98,50.0,231.733,121.675,2.03
14.64,68.24,5.63,173,47.0,333.333,109.091,2.18
17.08,21.76,8.67,26,47.0,55.38,22.371,9.49
20.01,51.05,3.8,218,39.0,311.588,100.157,73.5
15.25,75.11,1.79,45,62.0,171.667,23.071,1.22
13.6,21.4,8.47,40,41.0,66.771,15.989,8.49
7.03,74.76,0.0,203,19.0,442.714,18.499,2.36
16.9,65.4,2.63,174,35.0,261.353,53.292,11.6
21.07,18.36,3.66,24,51.0,67.864,61.934,10.9
27.25,26.23,2.02,70,47.0,93.015,27.356,15.2
11.1,21.26,8.33,171,33.0,254.889,40.648,48.0
16.49,19.84,6.91,197,44.0,266.294,64.714,36.0
27.15,47.58,1.53,211,50.0,217.062,38.404,2.34
13.15,19.93,9.55,172,32.0,232.889,72.276,1.12
17.52,53.43,7.28,44,58.0,130.8,28.42,7.83
25.65,31.86,9.37,144,52.0,178.286,56.296,1.17
11.54,21.44,0.37,191,35.0,328.6,79.54,25.7
15.61,77.67,4.65,185,36.0,279.556,53.237,1.65
22.97,49.84,5.81,85,45.0,152.75,56.187,13.3
23.57,37.22,2.39,90,42.0,147.363,50.512,59.1
10.83,17.55,1.95,172,31.0,304.5,91.74,13.6
26.7,66.71,5.42,58,69.0,166.818,21.184,8.78
29.53,17.34,0.44,192,50.0,354.111,145.048,1.6
28.91,52.98,2.52,83,54.0,297.0,70.536,2.24
29.14,37.0,8.2,240,52.0,544.667,128.007,13.8
28.98,22.39,7.06,230,0.0,231.545,60.061,0.0
10.7,41.41,8.61,201,31.0,336.364,60.018,1.26
14.4,22.48,9.05,20,52.0,58.15,12.487,7.31
6.17,66.94,6.42,228,21.0,631.263,65.964,13.7
27.21,64.66,8.02,61,67.0,277.375,115.788,2.29
23.59,60.3,3.82,101,46.0,229.2,55.15,1.42
16.72,22.62,3.36,75,38.0,112.636,31.686,54.8
22.04,44.21,9.73,38,65.0,119.425,40.323,8.13
15.18,42.31,7.68,197,52.0,228.2,27.793,1.85
27.87,10.12,5.0,22,52.0,121.591,93.064,13.9
20.41,6.85,1.36,115,42.0,121.25,40.241,2.94
8.68,52.86,1.6,153,29.0,343.923,55.563,1.29
28.06,48.18,3.3,212,52.0,389.0,69.105,13.9
15.44,25.9,0.9,126,26.0,156.0,30.828,2.32
28.54,48.06,7.13,80,51.0,150.644,51.651,14.6
26.25,74.0,7.48,203,66.0,257.833,69.185,1.41
6.72,60.98,1.73,187,27.0,482.8,50.76,1.79
27.54,27.75,8.89,227,51.0,360.556,61.803,13.2
17.16,17.5,1.39,130,40.0,173.071,52.393,1.99
7.59,6.75,4.8,194,29.0,355.389,44.994,13.1
26.24,9.95,5.43,126,45.0,111.453,23.874,15.0
9.96,49.12,1.0,247,33.0,463.091,51.473,2.68
25.8,71.41,2.53,241,49.0,416.333,82.958,1.73
12.17,43.48,3.23,126,31.0,257.267,66.593,1.84
29.36,63.81,8.44,52,74.0,516.4,262.206,1.41
23.95,62.34,9.47,77,63.0,663.333,107.373,1.37
16.04,50.56,6.81,59,61.0,199.143,77.446,7.48
22.21,77.03,8.75,61,0.0,173.667,14.012,0.0
13.35,45.43,8.3,204,47.0,339.6,74.494,5.19
9.56,25.85,8.75,70,34.0,148.667,29.071,6.62
17.88,14.06,5.7,212,40.0,304.2,86.872,47.4
29.72,14.21,5.31,159,0.0,410.7,150.439,0.0
12.92,37.6,4.43,158,44.0,266.941,73.784,1.47
22.63,14.4,0.69,224,51.0,423.294,49.048,161.0
21.8,60.52,6.93,211,49.0,300.154,77.9,1.43
20.38,58.89,4.46,200,48.0,390.154,90.908,2.88
8.15,57.75,2.88,49,30.0,165.526,44.851,1.49
16.32,48.47,3.62,155,49.0,282.444,96.47,2.5
18.25,14.74,9.77,70,51.0,165.746,80.043,1.74
22.49,65.0,2.22,217,52.0,406.143,84.111,33.0
27.64,28.86,9.45,79,54.0,525.889,100.523,2.42
29.4,73.09,5.31,241,57.0,676.3,174.283,2.06
10.64,13.32,1.59,167,45.0,365.455,90.608,14.9
24.22,53.1,5.24,105,54.0,648.231,115.678,2.02
7.79,78.86,0.39,54,38.0,221.231,54.325,2.72
20.01,52.88,9.31,166,51.0,310.667,97.811,13.9
22.62,6.79,0.51,226,51.0,402.462,138.041,102.0
20.22,67.29,9.32,229,50.0,352.583,87.984,2.36
25.34,58.52,8.26,87,57.0,332.571,99.115,2.75
23.27,50.59,4.81,43,67.0,288.273,142.397,1.51
9.34,73.3,9.57,118,36.0,305.214,62.718,1.18
15.91,21.55,8.78,24,48.0,74.555,35.988,8.65
11.89,54.44,8.03,212,38.0,394.2,55.037,2.73
15.07,14.26,3.69,90,40.0,156.446,65.238,9.43
21.72,67.09,2.04,170,50.0,345.231,71.384,2.32
25.1,54.15,4.55,188,50.0,259.0,58.873,5.75
20.77,50.95,3.86,113,53.0,285.909,114.338,1.17
12.29,67.46,6.74,34,62.0,163.286,14.885,1.28
10.33,5.41,1.05,38,39.0,93.338,43.422,6.62
13.1,47.95,0.19,196,38.0,293.133,55.014,1.45
11.56,29.57,2.04,45,47.0,123.562,24.39,6.47
25.69,22.15,9.08,141,50.0,207.625,74.894,67.8
23.09,60.71,3.17,172,52.0,349.929,112.373,10.9
13.47,67.08,8.75,250,33.0,347.167,36.035,20.0
11.05,42.25,1.01,194,38.0,373.2,63.791,2.23
14.38,14.82,0.48,52,44.0,129.423,51.0,8.52
23.59,67.25,8.3,36,78.0,389.4,154.082,1.49
19.02,64.85,0.44,163,46.0,244.0,66.619,4.25
19.98,7.32,1.11,88,45.0,115.662,31.38,49.5
28.51,73.91,1.29,62,71.0,245.75,84.493,70.4
25.81,54.56,4.17,87,57.0,318.333,42.481,2.12
20.98,69.57,9.85,47,0.0,204.6,40.147,0.0
10.58,74.91,0.39,132,41.0,296.667,52.452,1.62
27.53,53.39,1.99,76,60.0,531.2,127.865,2.65
6.48,22.4,5.06,79,37.0,229.222,50.05,4.05
29.53,50.93,3.59,20,86.0,445.0,58.144,10.3
15.69,64.24,7.26,33,68.0,147.714,23.949,2.29
9.18,33.7,3.25,30,44.0,112.157,31.654,5.43
20.56,57.9,5.24,31,76.0,165.714,38.703,50.0
27.82,34.34,7.01,123,53.0,484.571,84.597,1.15
14.1,40.34,9.26,145,49.0,295.688,59.209,7.04
9.28,47.71,1.64,124,42.0,318.545,65.952,4.49
5.78,5.68,9.89,157,32.0,442.667,51.546,21.7
23.22,6.93,1.26,64,0.0,103.377,50.715,0.0
28.96,73.37,2.38,36,82.0,338.25,20.775,1.23
13.98,8.07,4.35,167,40.0,205.706,46.325,8.68
29.14,42.12,7.29,44,0.0,114.01,29.896,0.0
18.87,73.47,7.83,238,47.0,400.286,103.945,2.5
21.21,43.01,1.87,165,50.0,256.118,56.69,15.0
8.64,53.0,0.98,41,38.0,152.5,37.11,5.58
26.52,61.63,4.87,229,49.0,336.429,57.474,1.98
26.37,52.0,8.77,207,57.0,281.0,55.538,2.16
30.0,28.97,5.21,82,49.0,190.276,79.205,16.1
29.71,69.14,0.34,103,59.0,498.769,155.195,5.31
26.16,52.78,2.44,240,55.0,694.875,48.459,2.08
15.78,23.25,5.64,57,43.0,118.718,72.342,9.4
27.0,19.48,8.66,98,58.0,409.4,128.12,2.1
15.52,56.67,0.48,178,44.0,287.857,83.411,2.51
26.42,77.67,8.1,67,71.0,394.375,45.387,7.9
22.04,27.75,1.57,42,59.0,193.286,64.366,9.3
27.45,63.11,6.25,122,56.0,558.375,151.78,70.2
29.6,70.63,6.34,159,56.0,683.067,67.64,2.43
21.58,64.35,1.5,89,54.0,182.6,44.562,1.91
16.26,39.44,9.01,124,47.0,204.231,61.421,1.75
23.04,62.5,9.05,200,48.0,354.529,221.434,2.42
21.32,57.66,4.15,210,49.0,285.0,60.655,60.0
11.3,67.81,6.64,235,39.0,492.0,70.311,1.77
29.04,15.16,8.91,125,54.0,535.412,76.142,118.0
26.34,49.84,1.78,146,51.0,317.722,115.159,2.5
22.08,54.07,0.94,54,62.0,157.7,39.716,1.1
8.44,66.96,9.16,220,31.0,488.938,50.865,2.93
7.64,63.15,7.49,37,39.0,174.769,28.341,2.08
21.88,62.08,1.16,218,51.0,349.75,84.4,1.13
12.15,75.51,8.11,132,54.0,273.286,56.697,1.42
28.37,15.44,4.27,157,60.0,616.667,107.513,2.46
12.8,27.27,3.38,71,45.0,146.669,51.552,7.77
9.32,13.28,9.43,189,34.0,321.435,39.494,23.9
25.64,65.74,7.46,115,0.0,218.0,54.025,0.0
28.81,54.6,0.63,64,0.0,204.4,56.256,0.0
20.59,57.54,4.63,141,49.0,325.583,115.655,1.54
8.13,10.07,5.6,156,34.0,383.85,93.78,16.1
10.14,43.65,0.11,51,40.0,176.667,36.941,1.71
12.05,40.01,1.24,33,48.0,110.421,31.288,1.86
5.1,21.35,5.94,134,32.0,460.222,104.079,10.9
16.4,23.88,1.65,44,47.0,107.895,49.488,9.0
23.67,17.82,0.11,172,51.0,350.067,115.638,105.0
24.28,49.07,0.07,109,53.0,243.182,85.651,1.66
27.93,5.69,6.23,178,51.0,394.929,94.321,13.9
17.49,34.59,7.76,134,42.0,223.3,83.074,2.45
21.22,14.1,1.66,28,47.0,80.208,36.305,11.8
8.14,60.48,7.14,23,55.0,129.857,8.859,3.84
25.44,26.99,9.21,87,53.0,273.0,34.242,50.8
8.05,71.63,6.37,95,37.0,273.0,45.936,2.66
23.65,68.83,9.11,242,55.0,454.2,137.475,1.96
11.64,34.66,6.3,58,50.0,138.6,37.95,6.8
9.57,11.02,4.87,237,30.0,426.091,119.489,11.7
9.56,51.58,5.85,80,28.0,178.0,29.447,1.27
27.4,41.39,5.98,76,0.0,133.864,29.819,0.0
24.16,28.08,4.57,37,57.0,355.471,202.016,9.74
24.32,48.27,5.5,193,49.0,311.5,81.502,2.68
23.47,63.95,8.03,70,63.0,155.071,21.521,1.25
14.74,71.06,8.04,61,48.0,156.2,13.967,8.06
17.22,76.72,4.31,215,41.0,349.583,86.439,2.91
14.59,34.92,6.96,100,37.0,168.15,41.842,2.29
29.79,14.46,5.77,178,51.0,483.615,157.699,79.5
9.54,43.04,5.4,203,32.0,433.947,62.185,2.31
28.17,66.5,5.63,67,68.0,312.889,85.256,2.4
16.99,62.85,9.38,245,45.0,361.8,83.018,110.0
28.1,33.71,8.17,227,49.0,268.786,75.593,2.05
7.74,11.84,8.78,78,28.0,188.8,62.118,12.3
15.69,50.59,8.81,76,49.0,159.154,35.362,1.07
14.08,38.69,3.92,119,42.0,205.667,51.828,2.05
13.79,12.34,8.58,38,42.0,63.3,24.699,8.39
29.56,69.31,3.41,61,70.0,224.5,77.728,1.75
9.84,17.61,8.81,43,38.0,101.75,34.195,2.3
24.13,34.37,7.98,75,45.0,117.95,49.58,1.14
8.36,15.51,0.84,126,22.0,235.167,55.721,6.74
10.47,22.4,5.59,196,27.0,325.812,62.402,2.36
23.51,77.62,8.65,98,58.0,204.125,22.944,1.07
8.68,54.22,6.59,151,32.0,342.381,58.451,13.6
13.82,27.54,3.38,180,40.0,296.111,105.149,2.46
20.87,76.48,0.28,48,70.0,194.5,37.969,3.1
5.66,77.56,8.21,70,38.0,298.333,61.279,1.33
16.56,8.14,6.72,205,36.0,287.125,125.181,15.9
26.87,57.27,3.72,157,52.0,395.091,133.396,2.95
13.44,24.98,9.1,185,44.0,353.833,108.635,3.07
10.86,65.2,9.7,60,43.0,149.529,24.403,1.5
23.16,69.38,6.34,195,51.0,402.636,91.789,2.14
15.14,46.26,9.99,146,40.0,222.882,55.57,2.17
13.42,31.8,5.81,148,38.0,219.8,48.551,2.71
6.42,65.89,6.49,237,27.0,584.95,51.062,20.9
26.21,16.04,2.46,246,54.0,357.0,71.226,70.4
21.84,73.01,2.25,66,63.0,242.222,79.309,1.23
13.78,56.25,0.28,201,43.0,302.083,85.22,15.2
26.89,13.54,9.34,145,59.0,447.733,106.939,1.53
25.17,58.63,2.04,48,69.0,180.75,56.518,2.02
19.24,47.28,0.2,243,42.0,266.5,28.116,42.5
6.32,45.65,0.97,38,30.0,136.917,24.392,4.71
24.06,61.74,8.39,113,50.0,211.0,62.925,5.84
6.89,48.3,1.77,101,26.0,279.938,30.429,2.45
21.39,41.35,7.18,26,72.0,114.3,23.455,6.19
18.08,61.42,5.42,186,42.0,280.273,68.526,2.85
6.74,31.74,1.93,120,28.0,312.812,61.0,2.01
15.52,19.21,1.44,180,39.0,229.643,73.313,1.83
27.52,45.83,8.14,189,50.0,503.0,47.178,1.21
22.31,79.91,3.28,68,65.0,204.0,50.739,8.42
11.87,15.23,4.41,208,32.0,359.286,91.882,8.35
14.96,14.13,2.19,32,44.0,93.55,69.579,8.8
11.94,37.23,9.73,126,39.0,236.353,68.769,3.51
6.06,77.72,0.25,50,30.0,210.357,46.654,3.4
22.06,22.66,9.24,46,49.0,83.925,41.9,1.65
26.34,68.72,6.0,50,73.0,196.0,66.824,2.28
7.0,24.4,9.06,139,40.0,363.368,72.897,12.2
11.35,38.81,3.1,52,34.0,139.573,38.344,1.23
26.34,56.56,0.89,62,63.0,149.6,27.171,10.0
16.74,79.66,2.51,73,50.0,174.6,8.877,1.86
20.89,11.52,6.09,79,46.0,125.6,73.278,11.7
24.06,25.07,8.07,194,0.0,291.444,89.95,0.0
17.55,19.47,1.92,153,53.0,250.769,79.997,1.6
12.86,11.81,8.88,143,46.0,186.4,29.966,14.1
16.27,28.42,7.37,173,31.0,172.81,24.196,1.62
9.97,58.66,3.88,67,30.0,159.2,30.117,2.5
27.0,25.36,8.55,38,0.0,72.3,27.045,0.0
23.84,76.87,5.1,186,50.0,374.615,77.934,112.0
14.32,42.35,6.93,120,40.0,238.867,50.753,2.55
6.1,76.65,5.26,155,29.0,463.0,55.472,13.3
8.02,74.91,7.2,115,35.0,329.529,59.955,1.39
13.55,64.65,7.24,184,37.0,328.769,63.306,1.6
7.84,38.89,5.36,123,32.0,315.588,60.389,16.6
28.32,74.35,8.96,77,65.0,215.6,40.402,10.5
6.39,72.55,8.75,32,44.0,175.231,26.624,1.33
17.09,69.14,1.59,60,58.0,222.0,67.912,1.3
21.14,16.95,4.07,186,41.0,209.929,90.191,7.8
22.52,35.89,9.05,116,49.0,220.769,83.917,1.79
16.74,53.38,1.2,66,48.0,154.167,37.743,2.9
25.13,65.04,5.79,57,70.0,233.167,62.126,1.38
7.3,57.59,1.54,113,36.0,353.0,74.2,5.69
24.64,6.38,0.59,52,54.0,409.231,136.979,11.4
6.42,51.86,0.85,36,30.0,153.818,32.093,2.13
26.74,57.08,7.39,183,0.0,317.143,114.896,0.0
26.87,14.8,7.12,174,48.0,247.538,109.429,14.5
12.61,53.7,4.11,20,71.0,131.5,16.98,3.83
23.27,77.84,2.72,184,49.0,343.143,74.624,2.34
29.4,5.3,0.28,51,55.0,406.857,59.246,65.3
23.75,49.4,0.51,200,47.0,286.833,58.566,2.93
10.74,77.54,8.02,235,41.0,492.0,57.898,1.86
15.31,30.63,2.4,162,40.0,257.188,67.802,15.1
8.82,6.67,7.62,178,40.0,382.812,67.402,19.3
14.55,13.25,0.2,139,41.0,216.846,64.132,8.64
6.02,59.16,8.18,72,24.0,234.278,24.389,2.04
6.49,70.83,9.9,204,36.0,625.0,93.253,4.27
12.56,51.08,6.72,219,37.0,333.684,39.901,1.31
13.51,42.39,0.92,118,36.0,195.167,44.2,2.86
22.05,57.68,2.62,157,54.0,279.118,89.19,1.48
16.66,7.51,8.98,185,41.0,203.286,64.372,6.06
10.54,30.65,2.9,152,32.0,283.846,70.785,18.9
12.41,36.05,5.32,22,56.0,87.82,21.014,5.74
